Course,Credit Hours,Prerequisite,Corequisite 
ICS 108,4,ICS 104,None
MATH102,4,MATH101,None
ICS 202,4,ICS 108,None
MATH201,3,MATH102,None
MATH208,3,MATH102,None
ISE 291,3,ICS 104,None
SWE 206,3,ICS 108,None
CHEM101,4,None,None
COE 233,3,ICS 108,None
ICS 253,4,ICS 108,None
COE 292,3,ISE291,None
SWE 216,3,SWE206,None
IAS 212,2,None,None
STAT 319,3,MATH102,None
ENGL214,3,ENGL102,None
SWE 316,3,SWE 206,None
ICS 321,3,ICS 202,None
ICS 343,4,ICS 108,None
ICS 344,3,ICS 343,None
SWE 363,3,None,None
CGS 392,1,ENGL214,None
SWE 326,3,SWE 316,None
SWE 387,3,None,None
BUS 200,3,None,None
SWE 399,0,None,None
SWE 439,3,STAT 319,None
SWE 411,3,SWE 316,None
SWE 412,2,SWE 411,None
ICS 433,3,COE 233,None